"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"030-app-context-createctx","sgbd","changelog/030-app-context.xml","2025-09-05T22:54:28.427","48","EXECUTED","9:138916565f831eef644e8f69e36f9992","sqlFile path=../../ddl/30_app_context_createctx.sql","","","4.33.0","()","","7112863053"
"031-trigger-boleta-usuario","sgbd","changelog/031-trigger-boleta-usuario.xml","2025-09-05T22:54:28.473","49","EXECUTED","9:f384e4f05d0983af167d0f15309645b8","sqlFile path=../../ddl/31_trigger_boleta_usuario.sql","","","4.33.0","()","","7112863053"
"018-seed-precios-producto","sgbd","changelog/032-seed-precios-producto.xml","2025-09-05T22:54:28.518","50","EXECUTED","9:537cc079cecfc6a9bd1b1cd7e6e18bd7","sqlFile path=../../ddl/18_seed_precios_producto.sql","","","4.33.0","!admin,seed","","7112863053"
"019a-seq-boleta-numero","sgbd","changelog/033-seq-trg-boleta-numero.xml","2025-09-05T22:54:28.534","51","EXECUTED","9:bd846a7c13182240c18066a99e771f23","createSequence sequenceName=SEQ_BOLETA_NUMERO","","","4.33.0","!admin","","7112863053"
"019b-trg-boleta-set-numero","sgbd","changelog/033-seq-trg-boleta-numero.xml","2025-09-05T22:54:28.55","52","EXECUTED","9:ac4ac2adeecb0b8f10d9844017803c53","sql","","","4.33.0","!admin","","7112863053"
"020-scheduler-tz","sgbd","changelog/034-scheduler-timezone.xml","2025-09-05T22:54:28.566","53","EXECUTED","9:80807a615a3ed8f5eddf507c2217100c","sql","Fija la zona horaria por defecto del Scheduler","","4.33.0","admin","","7112863053"
"035a-mv-vd-create-if-missing","sgbd","changelog/035-repair-mvs-views.xml","2025-09-05T22:54:28.583","54","EXECUTED","9:69c1f102c9c3dd15e78171a1c216f202","sql","","","4.33.0","!admin","","7112863053"
"035b-mv-vpp-compile-if-exists","sgbd","changelog/035-repair-mvs-views.xml","2025-09-05T22:54:28.599","55","EXECUTED","9:5d6026687f8d31dc8e51663078b8cc7e","sql","","","4.33.0","!admin","","7112863053"
"035c-view-kpi-vd-if-mv","sgbd","changelog/035-repair-mvs-views.xml","2025-09-05T22:54:28.617","56","EXECUTED","9:3bc2f01e1dc7a436d2c4db4fcda7b07a","sql","","","4.33.0","!admin","","7112863053"
"035d-view-kpi-vpp-if-mv","sgbd","changelog/035-repair-mvs-views.xml","2025-09-05T22:54:28.633","57","EXECUTED","9:ee70f7464ccdbf0eb8498168bdcce0f1","sql",,"","4.33.0","!admin","","7112863053"
